iter	Passed	Remaining
0	133	40006
1	140	20897
2	146	14459
3	151	11214
4	157	9317
5	163	8011
6	169	7078
7	174	6385
8	180	5845
9	186	5418
10	192	5062
11	198	4761
12	205	4527
13	210	4308
14	216	4114
15	223	3968
16	233	3883
17	242	3795
18	250	3709
19	259	3628
20	267	3558
21	276	3490
22	284	3430
23	291	3351
24	305	3356
25	311	3277
26	316	3204
27	322	3136
28	328	3070
29	335	3020
30	341	2961
31	347	2907
32	353	2860
33	359	2809
34	364	2759
35	370	2717
36	376	2675
37	382	2635
38	388	2599
39	393	2560
40	400	2528
41	406	2494
42	411	2459
43	418	2434
44	424	2404
45	430	2374
46	435	2346
47	441	2317
48	447	2290
49	452	2262
50	458	2236
51	463	2210
52	469	2188
53	475	2165
54	481	2143
55	486	2120
56	492	2099
57	498	2081
58	504	2061
59	510	2041
60	516	2022
61	521	2002
62	527	1985
63	533	1967
64	539	1948
65	545	1933
66	551	1916
67	556	1899
68	562	1884
69	568	1867
70	573	1850
71	579	1835
72	585	1820
73	590	1804
74	596	1790
75	602	1775
76	608	1761
77	614	1747
78	619	1733
79	625	1721
80	631	1707
81	637	1693
82	643	1681
83	648	1668
84	654	1655
85	660	1642
86	665	1629
87	671	1616
88	677	1605
89	682	1592
90	688	1580
91	694	1569
92	699	1557
93	705	1545
94	711	1535
95	717	1523
96	722	1512
97	728	1501
98	733	1489
99	739	1479
100	745	1468
101	750	1457
102	756	1447
103	762	1437
104	768	1426
105	774	1417
106	779	1406
107	785	1395
108	791	1386
109	797	1377
110	803	1367
111	809	1358
112	814	1348
113	820	1338
114	825	1328
115	831	1319
116	837	1310
117	843	1300
118	849	1291
119	855	1282
120	860	1273
121	866	1264
122	872	1255
123	878	1246
124	883	1237
125	890	1229
126	895	1220
127	902	1212
128	907	1203
129	913	1194
130	919	1186
131	933	1187
132	940	1181
133	947	1173
134	952	1164
135	958	1155
136	964	1147
137	969	1138
138	976	1130
139	981	1121
140	987	1113
141	993	1104
142	998	1096
143	1004	1087
144	1010	1079
145	1015	1071
146	1021	1063
147	1027	1055
148	1033	1047
149	1039	1039
150	1045	1031
151	1050	1022
152	1056	1014
153	1062	1006
154	1067	998
155	1073	990
156	1078	982
157	1084	974
158	1090	967
159	1096	959
160	1101	951
161	1107	943
162	1113	935
163	1118	927
164	1124	920
165	1130	912
166	1135	904
167	1141	897
168	1147	889
169	1152	881
170	1158	874
171	1164	866
172	1170	858
173	1175	851
174	1181	844
175	1188	837
176	1193	829
177	1199	822
178	1205	814
179	1211	807
180	1216	800
181	1222	792
182	1228	785
183	1235	778
184	1240	771
185	1246	763
186	1252	756
187	1257	749
188	1263	742
189	1269	734
190	1275	727
191	1281	720
192	1286	713
193	1292	706
194	1298	698
195	1303	691
196	1309	684
197	1315	677
198	1321	670
199	1326	663
200	1333	656
201	1338	649
202	1344	642
203	1350	635
204	1356	628
205	1362	621
206	1367	614
207	1374	607
208	1380	600
209	1385	593
210	1391	586
211	1397	580
212	1403	573
213	1408	566
214	1415	559
215	1420	552
216	1426	545
217	1432	538
218	1438	531
219	1444	525
220	1449	518
221	1456	511
222	1462	505
223	1468	498
224	1474	491
225	1480	484
226	1485	477
227	1491	471
228	1497	464
229	1502	457
230	1508	450
231	1514	443
232	1519	437
233	1525	430
234	1531	423
235	1536	416
236	1542	410
237	1548	403
238	1553	396
239	1560	390
240	1566	383
241	1571	376
242	1577	370
243	1583	363
244	1588	356
245	1594	350
246	1600	343
247	1606	336
248	1612	330
249	1618	323
250	1624	317
251	1630	310
252	1636	303
253	1642	297
254	1647	290
255	1653	284
256	1659	277
257	1665	271
258	1671	264
259	1677	258
260	1682	251
261	1689	245
262	1695	238
263	1701	232
264	1707	225
265	1713	219
266	1719	212
267	1725	205
268	1730	199
269	1736	192
270	1741	186
271	1747	179
272	1753	173
273	1758	166
274	1764	160
275	1771	154
276	1776	147
277	1782	141
278	1788	134
279	1794	128
280	1799	121
281	1805	115
282	1811	108
283	1816	102
284	1822	95
285	1827	89
286	1833	83
287	1839	76
288	1844	70
289	1851	63
290	1857	57
291	1862	51
292	1868	44
293	1874	38
294	1880	31
295	1886	25
296	1891	19
297	1897	12
298	1903	6
299	1909	0
